comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.13,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Quench Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,~1500,2014
,Contract: No,$0.24,False,Ongoing/pre-existing relationship with editor or publication,,ng-hide,Platform: digital,Quench Magazine,,Rights: All rights,fob,~125,2014
