comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.00,False,,Haven't gotten it yet (as of this reporting) ,svg-false,Platform: digital,Cnn,,Rights: Other / I don't know,,800-word,2018
"""After liking my piece and talking of future pitches and work together, the editor ignored emails regarding filling out any paperwork, who to contact regarding payment and how to get paid for a month. I had to turn to another writer and ask for contact information for accountants payable. It was a hassle.""",Contract: Yes,$0.50,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Cnn,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",800,2017
,Contract: Yes,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Cnn,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2014
,Contract: No,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Cnn,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
