comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Complex,Assignment (editor came to you),Rights: All rights,profile or interview,1000,2017
,Contract: ,$0.33,False,,Paid in 2 months ,svg-1,Platform: digital,Complex,,Rights: Secondary Rights/Reprint,,750-word,2017
,Contract: Yes,$0.11,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,Complex,Cold pitch (no pre-existing relationship),Rights: All rights,fob,1875,2017
,Contract: No,$0.19,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Complex,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,profile or interview,1300,2017
"""Editor approached me and provided contacts to interview. Little to no edits from draft to final version, and paid in a reasonable amount of time. Good experience overall.""",Contract: Yes,$0.16,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Complex,Assignment (editor came to you),Rights: Other / I don't know,feature,2500,2016
,Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,Complex,Assignment (editor came to you),Rights: ,feature,~3000,2016
,Contract: Yes,$0.22,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Complex,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",1113,2016
,Contract: Yes,$0.21,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Complex,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2016
"""""10-item listicle of ~750 words total...payment recieved in 2 weeks.""""",Contract: ,$0.27,False,,,ng-hide,,Complex,,Rights: ,,750-word,2013
