comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Fashion Spot,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",~750,2015
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Fashion Spot,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",~750,2015
"""$30 - $100 for slideshows, depending on # of slides, bonus for collages""",Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,The Fashion Spot,Ongoing/pre-existing relationship with editor or publication,Rights: ,fob,~750,2015
,Contract: ,$20,True,,,ng-hide,Platform: digital,The Fashion Spot,,Rights: ,,,2013
,Contract: ,$50,True,,,ng-hide,Platform: digital,The Fashion Spot,,Rights: ,," criticism, review, or arts/entertainment converage",2013
