comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.22,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Washington Post -- On Parenting,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",900,2018
"""Editorial work was done swiftly and professionally.""",Contract: Yes,$0.31,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Washington Post -- On Parenting,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,800,2018
,Contract: No,$2.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Washington Post -- On Parenting,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",100,2018
