comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.10,False,,Paid in 15 days ,svg-1,Platform: digital,Hotnewhiphop,,Rights: First Serial Rights,,1000-word,2018
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Hotnewhiphop,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",750,2017
