comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.00,False,Heavy/Investigative reporting,,svg-false,Platform: digital,Usa Today College,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,600,2017
"""They don't pay (not even a gift card as it was previously noted on this website). I signed a Work for Hire agreement. I can republish with their permission. """,Contract: Yes,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Usa Today College,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~750,2014
"""All USA TODAY College pitches were paid with either a Target or Amazon gift card. All contributors have to pitch again. The exception is the Collegiate Correspondent program; they get a stipend for their work and they are on a semester-long contract for one article a week.""",Contract: No,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Usa Today College,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2013
