comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.67,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlanta Magazine,Assignment (editor came to you),Rights: All rights,feature,1186,2018
,Contract: No,$1.00,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,Atlanta Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,300,2018
,Contract: No,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Atlanta Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,fob,1200,2018
,Contract: No,$1.00,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Atlanta Magazine,Assignment (editor came to you),Rights: Other / I don't know,profile or interview,1800,2018
