comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.40,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,The Scientist,Cold pitch (no pre-existing relationship),Rights: All rights,fob,~750,2016
,Contract: Yes,$0.31,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Scientist,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,800,2016
