comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""No amount of pay would make this website and its toxic, abusive editor worth writing for.""","Contract: Verbal or ""handshake"" agreement",$0.83,False,Heavy/Investigative reporting,N/A ,svg-5,Platform: digital,The Parallax,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2018
,Contract: ,$0.63,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: other,The Parallax,,Rights: All rights,,1600-word,2018
