comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.17,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,100 Days In Appalachia,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.20,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,100 Days In Appalachia,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1200,2018
,Contract: Yes,$0.23,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,100 Days In Appalachia,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,1100,2018
,Contract: ,$0.10,False,,Paid in 6 weeks ,svg-1,Platform: digital,100 Days In Appalachia,,Rights: First Serial Rights,,1000-word,2018
,Contract: Yes,$0.20,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,100 Days In Appalachia,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1500,2018
