comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Wired communicates well and responds to pitches promptly. Pay is appropriate, although online budgets are leaner than print. Conde Nast Contract contains a questionable do-not-compete clause, which may be unenforceable. Payment is fairly quick, requires registration with payment system. Direct deposit option.""",Contract: Yes,$0.42,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Wired,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1200,2018
,Contract: Yes,$0.19,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Wired,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,1600,2018
,Contract: ,$0.54,False,,Paid in 1 month ,svg-2,Platform: digital,Wired,,Rights: First Serial Rights,,1400-word,2018
,Contract: Yes,$0.47,False,Medium reporting,Paid in 2 months ,svg-1,Platform: print,Wired,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",650,2018
,Contract: No,$4.20,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Wired,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",8000,2017
,Contract: ,$2.50,False,,Paid in 6 weeks ,svg-1,Platform: print,Wired,,Rights: First Serial Rights,,3000-word,2017
,Contract: Yes,$2.31,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Wired,Referral (you had a connection who connected you to the editor),Rights: All rights,"opinion, editorial, column or essay",346,2016
,Contract: ,$250,True,,,ng-hide,Platform: print,Wired,,Rights: ,, fob,2013
"""rate ""subject to negotiation""""",Contract: ,,,,,ng-hide,Platform: print,Wired,,Rights: ,, feature,2013
