comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.00,False,,,svg-false,Platform: digital,Rookie Mag,,Rights: First Serial Rights,,300-word,2018
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,poetry,300,2017
,"Contract: Verbal or ""handshake"" agreement",$0.01,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Rookie Mag,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,2000,2017
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-3,Platform: digital,Rookie Mag,Solicited pitch (editor asked you to pitch),Rights: All rights,"opinion, editorial, column or essay",1200,2016
"""A really good experience""",Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",1135,2016
,Contract: ,$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,1400,2016
