comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$3.00,False,,Paid in 6 weeks ,svg-1,Platform: print,Time Out New York,,Rights: All rights,,500-word,2016
,Contract: No,$2.40,False,Little to no reporting,,ng-hide,Platform: print,Time Out New York,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,~125,2014
"""Paying 8 months late.""",Contract: ,,,,,ng-hide,,Time Out New York,,Rights: ,,,2012
