comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.09,False,,Paid in 15 days ,svg-1,Platform: digital,Catapult,,Rights: First Serial Rights,,1100-word,2018
,Contract: ,$0.09,False,,Paid in 1 month ,svg-1,Platform: digital,Catapult,,Rights: First Serial Rights,,2200-word,2018
,Contract: Yes,$0.03,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Catapult,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fiction,3200,2018
"""Editors were very thorough and pleasant to work with.""",Contract: Yes,$0.10,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Catapult,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",2000,2018
,Contract: Yes,$0.15,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Catapult,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",2000,2017
,Contract: No,$0.08,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Catapult,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,other,2500,2017
,Contract: Yes,$0.06,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Catapult,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",3500,2017
"""Thoughtful, thorough and smart editing. A pleasure.""",Contract: Yes,$0.17,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Catapult,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1800,2016
