comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$1.00,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Marquette Magazine,Assignment (editor came to you),Rights: First Serial Rights,profile or interview,~1500,2014
,Contract: Yes,$1.00,False,Medium reporting,,ng-hide,Platform: digital,Marquette Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
