comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Was substantially revised by editor, and not bylined, both unanticipated. Cordial relationship..""","Contract: Verbal or ""handshake"" agreement",$2.00,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Aarp Bulletin,Cold pitch (no pre-existing relationship),Rights: All rights,,200-word,2018
"""Paid on acceptance. Heavily factual & fact-checked, based on l-t knowledge&research""",Contract: Yes,$2.00,False,Heavy/Investigative reporting,N/A ,svg-2,Platform: digital,Aarp Bulletin,Referral (you had a connection who connected you to the editor),Rights: All rights,fob,200,2018
,Contract: Yes,$2.00,False,Medium reporting,Paid in 15 days ,svg-1,Platform: print,Aarp Bulletin,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,500,2016
"""Editors are easy to work with, long-term pros in the market, but the fact-checking is something to get used to. Not a problem, just different from most publications in this price range. But they pay well and on time. """,Contract: Yes,$1.60,False,Medium reporting,,ng-hide,Platform: digital,Aarp Bulletin,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~750,2015
