comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.13,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Shareable,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,800,2018
"""Very responsive, friendly staff and editors""",Contract: No,$0.15,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Shareable,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1000,2018
"""Invoices can only be submitted in a specific time each month, but payment comes quickly afterward. ""","Contract: Verbal or ""handshake"" agreement",$0.10,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Shareable,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2013
"""""They have paid on time (after invoicing) repeatedly. ‘Community blog’ stories are unpaid.""",Contract: ,$0.12,False,Solicited pitch (editor asked you to pitch),,ng-hide,,Shareable,,Rights: ,feature,~1250,2012
