comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.20,False,,Paid in 1 month ,svg-1,Platform: digital,Pitchfork,,Rights: All rights,,250-word,2017
,Contract: ,$0.25,False,,Paid in 2 months ,svg-1,Platform: digital,Pitchfork,,Rights: Other / I don't know,,1600-word,2017
,Contract: ,$0.13,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,Pitchfork,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2016
"""""They are very good at paying regularly, and they pay kill fees.""""",Contract: ,$100,True,,,ng-hide,,Pitchfork,,Rights: ,, profile or interview,2012
,Contract: ,$80,True,,,ng-hide,,Pitchfork,,Rights: ,," criticism, review, or arts/entertainment converage",2012
,Contract: ,$100,True,,,ng-hide,,Pitchfork,,Rights: ,, news story,2012
"""""They are very good at paying regularly, and they pay kill fees.""""",Contract: ,$100,True,,,ng-hide,,Pitchfork,,Rights: ,, profile or interview,2012
,Contract: ,$80,True,,,ng-hide,,Pitchfork,,Rights: ,," criticism, review, or arts/entertainment converage",2012
