comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Crosscut,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1000,2016
,"Contract: Verbal or ""handshake"" agreement",$0.12,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Crosscut,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1666,2016
,"Contract: Verbal or ""handshake"" agreement",$0.17,False,Medium reporting,,ng-hide,Platform: digital,Crosscut,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~750,2015
