comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$1.00,False,Heavy/Investigative reporting,Longer than 3 months ,svg-4,Platform: digital,Today's Parent Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,feature,600,2018
"""I received a lot of contradictory instructions in the edits, and consequently, I had to change the article quite a few times. They pay a good rate, but their invoicing/payment system is confusing and takes a long time to pay out. I had to make multiple phone calls and send several emails to get my check, and the person I spoke to said this happens all the time.""","Contract: Verbal or ""handshake"" agreement",$0.83,False,Heavy/Investigative reporting,Paid in 3 months ,svg-4,Platform: digital,Today's Parent Magazine,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,feature,1800,2018
,Contract: Yes,$0.67,False,Medium reporting,,ng-hide,Platform: print,Today's Parent Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
