comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.25,False,,Paid in 15 days ,svg-1,Platform: digital,Gothamist,,Rights: First Serial Rights,,2000-word,2016
"""Also took photos for the piece.""",Contract: No,$0.36,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Gothamist,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1100,2016
,Contract: No,$0.40,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Gothamist,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,500,2016
,Contract: No,$0.13,False,Medium reporting,,ng-hide,Platform: digital,Gothamist,Cold pitch (no pre-existing relationship),Rights: ,news story,~1500,2014
,Contract: ,$50,True,,,ng-hide,Platform: digital,Gothamist,,Rights: ,, news story,2013
,Contract: ,$250,True,,,ng-hide,Platform: digital,Gothamist,,Rights: ,, feature,2013
