comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.25,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Dame Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,profile or interview,1200,2018
,Contract: ,$0.25,False,,Paid in 6 weeks ,svg-2,Platform: digital,Dame Magazine,,Rights: Other / I don't know,,1200-word,2018
"""Pay has increased in recent years but hassles are huge.""",Contract: ,$0.25,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Dame Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2018
,Contract: Yes,$0.09,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Dame Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,1600,2017
,Contract: Yes,$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Dame Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
