comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.09,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",700,2017
,Contract: No,$0.06,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: Secondary Rights/Reprint,news story,700,2017
"""Great experience!""",Contract: No,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",900,2016
