comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""The day I have been paid changes every month and so do their billing cycles. They are not communicative about when this will be and use PayPal instead of a normal service.""",Contract: Yes,$0.25,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-4,Platform: digital,Merry Jane,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,500,2017
,Contract: No,$0.21,False,Medium reporting,Paid in 6 weeks ,svg-3,Platform: digital,Merry Jane,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,600,2017
"""Great relationship with original editor, but current editor asks for extensive rewrites and offered kill fees at 25% more than once after piece was finished and is rude in communications.""",Contract: No,$0.13,False,Little to no reporting,Paid in 6 weeks ,svg-3,Platform: digital,Merry Jane,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
