comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: No,$0.10,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Substream Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1500,2016
"""Easy pitching.""","Contract: Verbal or ""handshake"" agreement",$0.03,False,Little to no reporting,,ng-hide,Platform: print,Substream Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: ,profile or interview,~750,2014
