comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.30,False,,Paid in 2 months ,svg-1,Platform: digital,Inside Higher Ed,,Rights: Other / I don't know,,750-word,2017
"""Posts for GradHacker as a regular contributor - paid in the form of Amazon gift cards but received on schedule with no hassle.""","Contract: Verbal or ""handshake"" agreement",$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Inside Higher Ed,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,blog post,750,2017
"""Dealt directly with the editor.  He was beyond great making suggestions --all of which I incorporated.  I had not expected to get paid but editor said this was a routine matter.""",Contract: No,$0.15,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,Inside Higher Ed,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",3085,2017
