comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.30,False,,Paid in 1 month ,svg-1,Platform: digital,Artsy,,Rights: Other / I don't know,,1000-word,2018
,Contract: Yes,$0.40,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Artsy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2018
,Contract: No,$0.30,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Artsy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1000,2018
