comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$0.03,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Solicited pitch (editor asked you to pitch),Rights: All rights,feature,1800,2018
"""Editor changed their mind a lot about the edits which resulted in more work than expected, and the publication usually takes a while to get back to about payment, around 2-3 months.""",Contract: Yes,$0.07,False,Little to no reporting,Paid in 2 months ,svg-3,Platform: digital,The Bold Italic,Assignment (editor came to you),Rights: All rights,blog post,700,2018
,Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The Bold Italic,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,fob,800,2017
"""They initially offered $50 for an 800-word piece which I considered very low. I didn't want to risk losing the deal as this would be my first article with them, so I only bumped it up to $80 and they responded with $75.""",Contract: Yes,$0.10,False,Medium reporting,,ng-hide,Platform: digital,The Bold Italic,Cold pitch (no pre-existing relationship),Rights: All rights,"criticism, review, or arts/entertainment converage",~750,2015
,Contract: ,$0.19,False,,,ng-hide,Platform: digital,The Bold Italic,,Rights: ,feature,1600,2013
,Contract: ,$0.19,False,,,ng-hide,Platform: digital,The Bold Italic,,Rights: ,news story,800,2013
"""""I was given a rate of $150-300, but i heard from another editor that I was 'low-balled' and that many writeres with bigger rep than mine are paid considerably more""""",Contract: ,$300,True,,,ng-hide,,The Bold Italic,,Rights: ,,,2013
