comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Blue Ridge Country Magazine,,Rights: Other / I don't know,fob,450,2018
"""Super easy to work with editor; minimal expectations. Piece involved several paragraphs of content, including single source interview, and sidebar with ""how-to"" research/contact information.""",Contract: No,$0.25,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,Blue Ridge Country Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,500,2017
,Contract: No,$0.60,False,Medium reporting,,ng-hide,Platform: digital,Blue Ridge Country Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,~125,2016
