comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.21,False,,Paid in 15 days ,svg-1,Platform: digital,Policy Mic,,Rights: First Serial Rights,,1200-word,2016
,Contract: Yes,$0.17,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Policy Mic,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",900,2016
,Contract: Yes,$0.04,False,Little to no reporting,,ng-hide,Platform: digital,Policy Mic,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~750,2014
"""NOTE: I actually turned down the assignment. But this was the pay rate and word count for the assignment.""","Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,,ng-hide,Platform: digital,Policy Mic,Assignment (editor came to you),Rights: All rights,news story,~750,2014
